year,topic,neighbor,cosine,rank
2022,4,5,0.7531,3
2022,5,1,0.8649,1
2022,5,0,0.8421,2
2022,5,8,0.8319,3
2022,8,0,0.8492,1
2022,8,5,0.8319,2
2022,8,1,0.7869,3
2023,0,3,0.8977,1
2023,0,1,0.8603,2
2023,0,5,0.8422,3
2023,1,3,0.8854,1
2023,1,2,0.8759,2
2023,1,0,0.8603,3
2023,2,1,0.8759,1
2023,2,5,0.8361,2
2023,2,4,0.8287,3
2023,3,0,0.8977,1
2023,3,1,0.8854,2
2023,3,5,0.7910,3
2023,4,1,0.8361,1
2023,4,2,0.8287,2
2023,4,5,0.7880,3
2023,5,0,0.8422,1
2023,5,8,0.8421,2
2023,5,2,0.8361,3
2023,8,5,0.8421,1
2023,8,0,0.8303,2
2023,8,1,0.7853,3
2024,0,3,0.8942,1
2024,0,5,0.8689,2
2024,0,1,0.8615,3
2024,1,3,0.8930,1
2024,1,0,0.8615,2
2024,1,2,0.8479,3
2024,2,1,0.8479,1
2024,2,4,0.8223,2
2024,2,5,0.7738,3
2024,3,0,0.8942,1
2024,3,1,0.8930,2
2024,3,5,0.8157,3
2024,4,2,0.8223,1
2024,4,1,0.8183,2
2024,4,5,0.7526,3
2024,5,0,0.8689,1
2024,5,1,0.8253,2
2024,5,3,0.8157,3
2025,0,3,0.9008,1
2025,0,0,-1.0000,2
2025,3,0,0.9008,1
2025,3,3,-1.0000,2
